model,threshold,precision_mean,precision_var,recall_mean,recall_var,f1_mean,f1_var,pos_acc_mean,neg_acc_mean
all-mpnet-base-v2,0.5999999999999998,0.9986913918439473,1.1490227735772888e-06,0.6324440373880378,0.000106941800525597,0.7744058936254319,6.471897640042647e-05,0.6324440373880378,0.9991902875319114
all-mpnet-base-v2,0.6099999999999998,0.9986563707930622,1.2135540750566793e-06,0.6147013340048295,0.00012225064897811904,0.7609369159852417,7.607374587564892e-05,0.6147013340048295,0.9991902875319114
all-mpnet-base-v2,0.6199999999999998,0.9986303985237234,1.2621786023286675e-06,0.5992532489485117,0.00010207219436992435,0.7489824441891523,6.412527927750637e-05,0.5992532489485117,0.9991902875319114
all-mpnet-base-v2,0.6299999999999997,0.9990508846830493,1.3621571854069848e-06,0.5822189341059403,9.41045151066201e-05,0.7356487011709516,6.12344461543456e-05,0.5822189341059403,0.9994642601346513
all-mpnet-base-v2,0.6399999999999997,0.9990173997129077,1.4595676070630083e-06,0.5616239684513044,7.723717277226556e-05,0.7189876640224495,5.267303274488667e-05,0.5616239684513044,0.9994642601346513
all-mpnet-base-v2,0.6499999999999997,0.9989827492844434,1.5606137777475835e-06,0.5430590048721491,5.045334398173547e-05,0.7035947343564898,3.640000903070286e-05,0.5430590048721491,0.9994642601346513
all-mpnet-base-v2,0.6599999999999997,0.9994350282485875,1.2767723195761381e-06,0.5253693165425931,0.00018157057937270428,0.6886116655755806,0.00013651069479746862,0.5253693165425931,0.9997435897435898
all-mpnet-base-v2,0.6699999999999997,0.999410029498525,1.392260770442343e-06,0.5055114935861712,0.0002029072498990412,0.6713023656592226,0.00016148603013933327,0.5055114935861712,0.9997435897435898
all-mpnet-base-v2,0.6799999999999997,1.0,0.0,0.4828261671808627,0.0002479827956652297,0.6510733581605679,0.00020184577508133313,0.4828261671808627,1.0
all-mpnet-base-v2,0.6899999999999997,1.0,0.0,0.4651001996554781,0.00025509321780776577,0.6347440513671916,0.00021975770052912007,0.4651001996554781,1.0
all-mpnet-base-v2,0.6999999999999996,1.0,0.0,0.44481903854774163,0.0002469364044502552,0.6155806767756455,0.0002243968984882177,0.44481903854774163,1.0
all-mpnet-base-v2,0.7099999999999996,1.0,0.0,0.42016502517161686,7.065321063660986e-05,0.5916638186328076,6.89362627696797e-05,0.42016502517161686,1.0
